TOWN,CLERK TEL #,ELECTION,DATE,POLLS OPEN,POLLING LOCATION,STREET ADDRESS,OTHER ELECTION INFO,SCHOOL ELECTION INFO,latitude,longitude,geocode_status
Mount Tabor,802-293-5282,Annual Meeting,3/3/25,10:00 AM,Town Office,"522 Brooklyn Rd, Mount Tabor",,,43.3502047,-72.983257,success
New Haven,802-453-3516,Annual Meeting,3/3/25,7:00 AM,Town Hall,"70 North St, New Haven",,"Town Hall 70 North St, New Haven, VT 05472",44.1257939,-73.1534243,success
Newark,802-467-3336,Annual Meeting,3/4/25,10:00 AM,Newark Street School,"1448 Newark St, Newark","Newark Town Meeting is a Floor Vote.  The polls will be
open 10:00am-7:00pm for the Kingdom East School
District budget vote",,44.6898042,-71.9509502,success
Newbury,802-866-5521,Annual Meeting,3/4/25,10:00 AM,Newbury Village Hall,"214 Pulaski St, Newbury",,,44.0790802,-72.0600672,success
Newfane,802-365-7772 x0,Annual Meeting,3/4/25,9:00 AM,Williamsville Hall,"35 Over Rd, Williamsville","Other towns in the district will have the Australian ballot
vote the same day, other places.","March 26, 2025, Newbrook Fire Station, 698 VT Route
30, Newfane",,,not_found
Newport,802-334-6442,Annual Meeting,3/4/25,8:00 AM,Newport Town School,"4212 VT Route 105, Newport Ctr",,,44.9523214,-72.3062968,success
Newport City,802-334-2112,Annual Meeting,3/4/25,8:00 AM,Newport City Municipal Building,"222 Main St, Newport City",,,44.9356155,-72.2108371,success
North Hero,802-372-6926,Annual Meeting,3/4/25,7:00 AM,Community Hall,"3541 US Route 2, North Hero","Informational Meeting March 3, 2025 at 7pm at the
Community Hall",,44.8167355,-73.2905813,success
Northfield,802-485-5421,Annual Meeting,3/3/25,7:00 AM,"Northfield Middle/High School -
Cafeteria","37 Cross St, Northfield","Meeting is at 6:30pm Monday night 3/3/25, held in the
Northfield High School Auditorium",,44.1533613,-72.6601921,success
Norton,802-822-9935,Annual Meeting,3/3/25,10:00 AM,Norton Town Hall,"12 VT Route 114 E, Norton",,"Maidstone Town Hall 508 VT-102, Maidstone VT",,,not_found
Norwich,802-649-1419,Annual Meeting,3/4/25,7:00 AM,Tracy Memorial Hall,"300 Main St, Norwich",,"Same location, date and time as Town Meeting.",43.7139507,-72.3078751,success
Orange,802-479-2673,Annual Meeting,3/4/25,,Orange Town Hall,"392 US Route 302, Orange",,,,,not_found
Orwell,802-948-2032,Annual Meeting,3/4/25,10:00 AM,Orwell Town Hall,"480 Main St, Orwell",,,43.8042973,-73.2997055,success
Panton,802-475-2333,Annual Meeting,3/4/25,7:00 AM,Town Hall - 2nd floor,"3154 Jersey St, Panton",,,44.1478041,-73.3415106,success
Pawlet,802-325-3309,Annual Meeting,3/3/25,9:00 AM,Town Hall,"122 School St, Pawlet",,"School Info Meeting is 2/26 at Rupert Firehouse, 2673
Rte. 153",43.3456644,-73.1789302,success
Peru,802-824-3065,Annual Meeting,3/4/25,7:00 AM,Peru Town Hall,"402 Main St, Peru",,03/04/2025 7am - 7pm Town Hall,43.2296001,-72.9009524,success
Pittsfield,802-746-8170,Annual Meeting,3/4/25,6:00 PM,Town Hall,"56 Village Green, Pittsfield",6pm Town Hall Floor Vote,,43.7709271,-72.8123982,success
Pittsford,"802-483-6500
x100/110",Annual Meeting,3/3/25,7:00 AM,"Pittsford Town Office, Conference
Room","426 Plains Rd, Pittsford","Town Meeting will be held at the Lothrop School
Gymnasium, Pittsford, VT  05763 on March 3, 2025 at
6:30 p.m.","Otter Valley Union Unified School District meet at the
Otter Valley Union High School Auditorium on
Wednesday, February 26, 2025, at 6:30 p.m.",43.7153851,-73.0280326,success
Plainfield,802-454-8461,Annual Meeting,3/4/25,9:00 AM,Plainfield Town Hall Opera House,"18 High Street, Plainfield",,,44.2783285,-72.426145,success
Plymouth,802-500-1815,Annual Meeting,3/4/25,7:00 PM,Plymouth Municipal Building,"68 Town Office Rd, Plymouth","Floor meeting 3/3/2025 at 7:00 pm. Australian ballot
voting 3/4/2025 10:00 am - 7:00 pm.",,43.5341803,-72.7428531,success
Pomfret,802-457-3861,Annual Meeting,3/4/25,8:00 AM,Pomfret Town Office,"5218 Pomfret Road, North Pomfret","Info Meeting 2/22/2025 at 9:00am at the Pomfret Town
Hall and via Zoom",,43.724567,-72.45557,success
Poultney,802-287-5761,Annual Meeting,3/4/25,10:00 AM,Poultney Fire House,"55 Fire House Ln, Poultney",,Quarry Valley Unified Union School District,,,not_found
Pownal,802-823-0116 x101,Annual Meeting,3/4/25,10:00 AM,Town Office,"511 Center St, Pownal",,,42.7945965,-73.2238675,success
Proctor,802-459-3333,Annual Meeting,3/4/25,10:00 AM,Proctor Jr.-Sr. High School,"4 Park St, Proctor",,,43.6551765,-73.0286926,success
Putney,802-387-5862,Annual Meeting,3/4/25,10:00 AM,Putney Central School,"182 Westminster Rd, Putney",,,42.986092,-72.5285723,success
Randolph,802-728-5433 x11,Annual Meeting,3/4/25,7:00 AM,Town Hall,"7 Summer St, Randolph",,,43.9236855,-72.6665688,success
Reading,802-484-7250,Annual Meeting,3/4/25,7:00 AM,Robinson Hall,"799 VT Route 106, Reading",,,43.4556296,-72.5374645,success
Readsboro,802-423-5405,Annual Meeting,3/4/25,10:00 AM,Readsboro Central School,"301 Phelps Lane, Readsboro",,Same as town election.,42.7719185,-72.940478,success
Richford,802-848-7751,Annual Meeting,3/4/25,10:00 AM,Richford Town Hall,"94 Main St, Richford",,,44.994817,-72.6736162,success
Richmond,802-434-2221 x2,Annual Meeting,3/4/25,7:00 AM,Camels Hump Middle School,"173 School St, Richmond",,,44.4134914,-72.9942542,success
Ripton,802-388-2266,Annual Meeting,3/3/25,8:00 AM,Ripton Community House,"1283 VT Route 125, Ripton","03/03/2025 Floor Meeting.  03/04/2025 Australian ballot
voting.",,43.9750789,-73.0371657,success
Rochester,802-767-3631,Annual Meeting,3/3/25,7:00 PM,High School Auditorium,"222 S Maint St, Rochester",Floor vote,,,,not_found
Rockingham,802-463-4336,Annual Meeting,3/4/25,8:00 AM,Masonic Temple,"61 Westminster St, Bellows Falls",,,43.1311004,-72.4446544,success
Roxbury,802-485-7840,Annual Meeting,3/4/25,10:00 AM,"Roxbury Town Hall,  Village
School","1567 Roxbury Rd, Roxbury",,,44.0922683,-72.7331959,success
Royalton,802-763-7207,Annual Meeting,3/4/25,8:00 AM,WRUD Royalton Campus,"223 S Windsor St, South Royalton","Town Meeting floor vote begins at 10am. Australian
balloting begins 8am to 7pm.","WRUD floor vote 3/3/25 at 6pm - 223 S Windsor St,
Royalton Campus",43.8193369,-72.5173415,success
Rupert,802-394-7728,Annual Meeting,3/4/25,10:00 AM,Rupert Town Office,"187 East St, West Rupert","Pre-town Informational Meeting    February 28, 2025
7:00 P.M.  Rupert Fire House",,43.2381167,-73.2393644,success
Rutland City Ward 1,802-774-7821,Annual Meeting,3/4/25,7:00 AM,Godnick Senior Center,"1 Deer Street, Rutland",,,43.6136586,-72.9680603,success
Rutland City Ward 2,802-774-7821,Annual Meeting,3/4/25,7:00 AM,Christ the King School,"60 South Main St, Rutland",,,43.6044406,-72.9709716,success
Rutland City Ward 3,802-774-7821,Annual Meeting,3/4/25,7:00 AM,American Legion,"33 Washington St, Rutland",,,43.6058841,-72.9759467,success
Rutland City Ward 4,802-774-7821,Annual Meeting,3/4/25,7:00 AM,Calvary Bible Church,"2 Meadow Ln, Rutland",,,43.6191306,-72.9840664,success
Rutland Town A,802-773-2528,Annual Meeting,3/4/25,7:00 AM,Town Hall-Rutland Town,"181 Business Route 4, Center Rutland",,,43.6045253,-73.0130821,success
Rutland Town B,802-773-2528,Annual Meeting,3/4/25,7:00 AM,Rutland Town School,"Post Rd, Rutland",,,43.6389139,-72.9437893,success
Ryegate,802-584-3880,Annual Meeting,3/4/25,10:00 AM,Ryegate Town House,"134 Witherspoon Rd, Ryegate",,Australian Ballot BMU School Budget Vote,44.2083871,-72.1062105,success
Saint Albans City,802-524-1500 x264,Annual Meeting,3/4/25,7:00 AM,Saint Albans City Hall,"100 N Main St, Saint Albans City",,,44.8133637,-73.0835654,success
Saint Albans Town,802-524-2415,Annual Meeting,3/4/25,7:00 AM,Collins Perley Sports Complex,"890 Fairfax Rd, Saint Albans Town",,,44.7940381,-73.0758038,success
Saint George,802-482-5272,Annual Meeting,3/4/25,6:00 PM,Little Red School House,"35 Barber Rd, Saint George","Town meeting is held at 6pm at the Little Red
Schoolhouse","Town Hall,  21 Barber Rd, 7am-7pm",44.3790257,-73.1272147,success
Saint Johnsbury,802-748-4331,Annual Meeting,3/4/25,8:00 AM,Town Office Building,"51 Depot Square, Saint Johnsbury",,,44.4171116,-72.0153781,success
Salisbury,802-352-4228,Annual Meeting,3/4/25,8:00 AM,Salisbury Town Clerk's Office,"25 Schoolhouse Rd, Salisbury","Information valid as of 2024. Contact town clerk for
updates.",,43.8981999,-73.1035835,success
Sandgate,802-375-9075,Annual Meeting,3/4/25,10:00 AM,Sandgate Town Hall,"3266 Sandgate Rd, Sandgate","Information valid as of 2024. Contact town clerk for
updates.",,43.1480311,-73.1983008,success
Searsburg,802-464-8081,Annual Meeting,3/4/25,10:00 AM,Searsburg Town Office,"18 Town Garage Rd, Searsburg",,4-Mar-25,42.8959102,-72.9778074,success
Shaftsbury,802-442-4038 x1,Annual Meeting,3/3/25,7:00 AM,Town Garage,"526 North Rd, Shaftsbury",,,42.963359,-73.2003956,success
Sharon,802-763-8268 x1,Annual Meeting,3/4/25,7:00 AM,Sharon Elementary School,"135 School St, Sharon",,,43.7849712,-72.4561839,success
Sheffield,802-626-8862,Annual Meeting,3/4/25,9:00 AM,Sheffield Town Hall,"3210 VT Route 122, Sheffield",,,44.603649,-72.1167451,success
Shelburne,802-985-5116,Annual Meeting,3/4/25,7:00 AM,Town Center Gym,"5420 Shelburne Rd, Shelburne",,,44.3786378,-73.2290538,success
Sheldon,802-933-2524,Annual Meeting,3/4/25,7:00 AM,Sheldon Elementary School,"78 Poor Farm Rd, Sheldon",,,44.9007291,-72.9692426,success
Shoreham,802-897-5841,Annual Meeting,3/3/25,7:00 AM,Town Office,"297 Main St, Shoreham",,Addison Central School District,43.8933997,-73.315241,success
Shrewsbury,802-492-3511,Annual Meeting,3/4/25,10:00 AM,Community  Meeting House,"88 Lottery Rd, Shrewsbury",,,43.5097515,-72.8691152,success
South Burlington,802-846-4119,Annual Meeting,3/4/25,7:00 AM,CHI-8: Senior Center,"180 Market St, South Burlington",,Same as Town Meeting,44.4658071,-73.1771497,success
South Burlington,802-846-4119,Annual Meeting,3/4/25,7:00 AM,"CHI-9 & CHI-11: Tuttle Middle
School","500 Dorset St, South Burlington",,,44.4568783,-73.1768343,success
South Burlington,802-846-4119,Annual Meeting,3/4/25,7:00 AM,CHI-10: Chamberlain School,"262 White St, South Burlington",,,44.4714062,-73.1654379,success
South Burlington,802-846-4119,Annual Meeting,3/4/25,7:00 AM,CHI-12: Orchard School,"2 Baldwin Ave, South Burlington",,,44.4397611,-73.2076821,success
South Hero,802-372-5552,Annual Meeting,3/4/25,7:00 AM,Town Hall,"333 Route 2, South Hero",Info meeting on 3/1/25,,44.6451045,-73.3061192,success
Springfield,802-885-2104,Annual Meeting,3/4/25,8:00 AM,Riverside Middle School,"13 Fairground Rd, Springfield",,,43.3045059,-72.4971824,success
Stamford,802-694-1361,Annual Meeting,3/3/25,10:00 AM,"Stamford Elementary School
Community Room","986 Main Rd, Stamford",Australian Ballot election on 3/4/25 from 10 am - 7 pm,Australian Ballot election on 3/4/25 from 10 am - 7 pm,42.7547223,-73.0675517,success
Stannard,802-533-2577,Annual Meeting,3/4/25,10:00 AM,Stannard Town Hall,"615 Stannard Mountain Rd, Greensboro
Bend",,"School meeting begins at 9, regular meeting to follow",,,not_found
Starksboro,802-453-2639,Annual Meeting,3/4/25,7:00 AM,Robinson School,"41 Parsonage Rd, Starksboro",,,44.2235711,-73.0579176,success
Stowe,802-253-6133,Annual Meeting,3/4/25,7:00 AM,Stowe High School,"413 Barrows Road, Stowe",,,44.4652003,-72.7261242,success
Strafford,802-765-4411,Annual Meeting,3/4/25,9:00 AM,Strafford Town Office,"12 Brook Rd, Strafford",,,43.8667231,-72.3776902,success
Stratton,802-896-6184,Annual Meeting,3/4/25,10:00 AM,Stratton Town Hall,"688 Stratton-Arlington Rd, Stratton","All elections are from the floor. Our Town Meeting begins
at 10:00am and our School District Meeting begins at
11:00am",,43.0429927,-72.9094707,success
Sudbury,802-623-7296,Annual Meeting,3/4/25,10:00 AM,Sudbury Town Hall,"2759 Route 30, Sudbury",,,43.7995606,-73.2040228,success
Sunderland,802-375-6106,Annual Meeting,3/4/25,10:00 AM,Sunderland Town Office Bldg,"104 Mountain View Rd, Sunderland",,,43.1046865,-73.1190644,success
Sutton,802-467-3377,Annual Meeting,3/4/25,8:00 AM,Sutton School,"95 Underpass Rd, Sutton",,,44.6335301,-72.0281301,success
Swanton,802-868-4421,Annual Meeting,2/4/25,7:00 AM,Swanton Village Complex,"120 First St, Swanton",,,44.9205663,-73.1129424,success
Thetford,802-785-2922,Annual Meeting,3/1/25,9:00 AM,Thetford Elementary School,"2689 Route 113, Thetford","School and Town Officers, School Budget 3/4 @Town
Hall",School Meeting 3/1 and Voting 3/4 @ Town Hall,43.8193917,-72.2311395,success
Tinmouth,802-446-2498,Annual Meeting,3/4/25,8:00 AM,Tinmouth Community Center,"573 Route 140, Tinmouth",,,43.4854911,-73.0937635,success
Topsham,802-439-5505,Annual Meeting,3/4/25,10:00 AM,Topsham Town Hall,"6 Harts Rd, Topsham","Information valid as of 2024. Contact town clerk for
updates.",,44.1212023,-72.2318785,success
Townshend,802-365-7300 x1,Annual Meeting,3/4/25,9:00 AM,Dutton Gym,"2030 VT Route 30, Townshend","Information valid as of 2024. Contact town clerk for
updates.",,,,not_found
Troy,802-988-2663,Annual Meeting,3/4/25,10:00 AM,Troy Elementary School,"126 Main St, North Troy",,,44.9961602,-72.4052356,success
Tunbridge,802-889-5521,Annual Meeting,3/4/25,10:00 AM,Tunbridge Central School,"523 VT Route 110, Tunbridge",,,43.9169091,-72.4747964,success
Underhill,802-899-4434 x1,Annual Meeting,3/4/25,7:00 AM,Brown's River Midde School,"20 River Rd, Jericho",,,44.5192685,-72.9442924,success
Vergennes,802-877-2841,Annual Meeting,3/4/25,9:00 AM,Vergennes Fire Station,"50 Green St, Vergennes","Annual informational meeting on March 3rd, voting on
March 4th",,44.1666121,-73.2513637,success
Vernon,802 257 0292,Annual Meeting,3/4/25,7:00 AM,Town Hall - downstairs,"567 Governor Hunt Rd, Vernon","Floor meeting on Monday, March 3 at 6:30 PM at Vernon
School","Vernon Elementary School floor meeting at 6:30 PM on
March 3",42.779883,-72.5218199,success
Vershire,802-685-2227,Annual Meeting,3/4/25,7:00 AM,Vershire Town Center Building,"27 Vershire Center Rd, Vershire","Information valid as of 2024. Contact town clerk for
updates.",,43.9699537,-72.3237216,success
Victory,802-328-2400,Annual Meeting,3/4/25,10:00 AM,Victory Town Hall,"102 Radar Rd, Victory",,,44.5762304,-71.7847155,success
Waitsfield,802-496-2218 x3,Annual Meeting,3/4/25,7:00 AM,Waitsfield Elementary School,"3951 Main St, Waitsfield","Town Meeting, 9:00 a.m. (same location)",,44.1943107,-72.8195136,success
Walden,802-563-2220,Annual Meeting,3/4/25,10:00 AM,Walden School,"135 Cahoon Farm Rd, Walden",,"March 4, 2025, 10-7 polling hours",44.4542363,-72.2192092,success
Wallingford,802-446-2336,Annual Meeting,3/4/25,10:00 AM,Wallingford Town Hall,"75 School St, Wallingford",,,43.4717321,-72.9758057,success
Waltham,802-877-3641,Annual Meeting,3/3/25,10:00 AM,Town Hall,"2053 Maple St, Waltham",,,44.1309495,-73.2446738,success
Wardsboro,802-896-6055,Annual Meeting,3/4/25,9:00 AM,Wardsboro Town Hall,"99 Main St, Wardsboro","All voting for town meeting is from the floor. The meeting
begins at 9 am.","River Valleys Unified School District - 4/29/2025, 6 pm",43.0421179,-72.7901769,success
Warren,802-496-2709,Annual Meeting,3/4/25,7:00 AM,Warren Elementary School,"293 School Road, Warren",,,44.1163948,-72.8527229,success
Washington,802-883-2218,Annual Meeting,3/4/25,8:00 AM,"Washington Village School
campus","72 School Lane, Washington",,,44.107932,-72.4318849,success
Waterbury,802-244-8447,Annual Meeting,3/4/25,7:00 AM,Brookside Primary School,"47 Stowe St, Waterbury",,Harwood Unified School District,44.3392918,-72.7525203,success
Waterford,802 748 2122,Annual Meeting,3/4/25,10:00 AM,Waterford School,"276 Duck Pond Rd, Waterford",,Caledonia Cooperative School District,44.4028123,-71.9277651,success
Waterville,802-644-8865,Annual Meeting,3/4/25,10:00 AM,Waterville Town Hall,"544 VT Route 109, Waterville",,,44.6903457,-72.7689868,success
Weathersfield,802-674-9500,Annual Meeting,3/4/25,8:00 AM,Martin Memorial Hall,"5259 US Route 5, Ascutney","Information valid as of 2024. Contact town clerk for
updates.",,43.4081585,-72.4070815,success
Wells,802-645-0486,Annual Meeting,3/4/25,10:00 AM,Wells Town Hall,"1064 VT Route 30, Wells","Information valid as of 2024. Contact town clerk for
updates.",,43.4164396,-73.2124764,success
West Fairlee,802-333-9696,Annual Meeting,3/1/25,10:00 AM,Town Offices/Community Building,"870 VT Route 113, West Fairlee",,,43.9097124,-72.262734,success
West Haven,802-265-4880,Annual Meeting,3/4/25,10:00 AM,Buckley Memorial Hall,"2919 Main Rd, West Haven",,,43.6518142,-73.3385963,success
West Rutland,802-438-2204,Annual Meeting,3/3/25,10:00 AM,"West Rutland Town Hall
Auditorium","35 Marble St, West Rutland",,,43.5949859,-73.0484762,success
West Windsor,802-484-7212,Annual Meeting,3/4/25,9:00 AM,Story Memorial Hall,"22 Brownsville-Hartland Rd, Brownsville",,"School Budget Vote, Polls Open 9:00 a.m. - 7:00 p.m.",43.468212,-72.4708698,success
Westfield,802-744-2484,Annual Meeting,3/4/25,9:00 AM,Westfield Community Center,"59 North Hill Rd, Westfield",,,44.8898475,-72.4290096,success
Westford,802-878-4587,Annual Meeting,3/4/25,7:00 AM,Westford School,"146 Brook Rd, Westford","Information valid as of 2024. Contact town clerk for
updates.",,,,not_found
Westminster,802-722-4091,Annual Meeting,3/1/25,8:00 AM,Westminster Institute,"3534 US Route 5, Westminster","Annual Meeting location: Bellows Falls Union High
School Auditorium  Start Time: 10:00 a.m.",,43.0672295,-72.4586573,success
Westmore,802-525-3007,Annual Meeting,3/4/25,10:00 AM,Fellowship Hall,"37 Hinton Hill Road, Westmore",,,44.7717152,-72.0544231,success
Weston,802-824-6645,Annual Meeting,3/4/25,8:00 AM,Walker Farm Theater,"705 Main St, Weston",,,43.2934334,-72.7889624,success
Weybridge,802-545-2450,Annual Meeting,3/4/25,7:00 AM,Weybridge Town Office,"1727 Quaker Village Rd, Weybridge","Information valid as of 2024. Contact town clerk for
updates.",,44.063488,-73.2154831,success
Wheelock,802-626-9094,Annual Meeting,3/4/25,10:00 AM,Wheelock Town Hall,"1192 VT Route 122, Wheelock",,,44.5877651,-72.0826392,success
Whiting,802 623-7813,Annual Meeting,3/4/25,7:00 AM,Whiting Town Hall,"29 S Main St, Whiting",,,43.8620084,-73.2008453,success
Whitingham,802-368-7887,Annual Meeting,3/4/25,10:00 AM,"Twin Valley Middle High School -
Gymnasium","4299 VT Route 100, Whitingham",,,42.7864725,-72.8402818,success
Williston,802-878-5121,Annual Meeting,3/3/25,7:00 AM,National Guard Armory,"7846 Williston Rd, Williston","Williston Town Meeting is on March 3rd, 2025, Williston
Central School Auditorium. Australian ballot voting on all
officers and budget items is on Tuesday, March 4th, 2025
from 7am-7pm at the National Guard Armory.","Annual Mtg. 3/3/25.  5pm at CVU.   Ballot Voting on
3/4/25.",44.4383248,-73.0740551,success
Wilmington,802-464-5836 x115,Annual Meeting,3/4/25,10:00 AM,Old School Community Center,"1 School St, Wilmington","Australian Ballot for TVUU on March 4, 7am - 7pm, Old
School Community Center","TVUU Annua Meeting, Feb 25, 6pm @ TV Elementary
School",42.8660734,-72.8691216,success
Windham,802-874-4211,Annual Meeting,3/4/25,10:00 AM,Windham Meeting House,"26 Harrington Rd, Windham","Town Officials will be elected by Australian Ballot, all
other articles and School District will be voted from the
floor.","All articles including officers will be elected from the floor
during Town Meeting.",43.1807132,-72.725819,success
Windsor,802-674-5610,Annual Meeting,3/4/25,9:00 AM,"Windsor Recreation Center
Gymnasium","29 Union St, Windsor",,Mount Ascutney School District Annual Meeting,43.476652,-72.3925246,success
Winhall,802-297-2122,Annual Meeting,3/4/25,10:00 AM,The Mountain School,"9 School Dr, Winhall",,,,,not_found
Winooski,802-655-6410,Annual Meeting,3/4/25,7:00 AM,Winooski Senior Center,"123 Barlow St, Winooski",,,44.4935254,-73.1828043,success
Wolcott,802-888-2746,Annual Meeting,3/4/25,8:00 AM,Wolcott Town School,"320 School Hill Dr, Wolcott","School Budget by Ballot, School officers from the floor.
Town Officers voted by Ballot, Town Budget from the
floor",,44.5377055,-72.4531861,success
Woodbury,802-456-7051,Annual Meeting,3/1/25,10:00 AM,Woodbury Elementary School,"63 Valley Lake Rd, Woodbury",,,44.4399026,-72.4166961,success
Woodford,802-442-4895,Annual Meeting,3/3/25,7:00 AM,Woodford Town Hall,"1391 VT Route 9, Woodford",,,42.8967644,-73.1302112,success
Woodstock,802-457-3456,Annual Meeting,3/4/25,7:00 AM,Woodstock Town Hall,"31 The Green, Woodstock",,,43.6231964,-72.5216805,success
